"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;" , , , , , ";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";6;"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";;;
2;"C3,C2";"CP_Radial_Tantal_D4.5mm_P2.50mm";2;"10";;;
3;"C1";"CP_Radial_D4.0mm_P2.00mm";1;"4.7";;;
4;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"200";;;
5;"TP3";"MountingHole_4mm_Pad_Via";1;"VIN+";;;
6;"TP4";"MountingHole_4mm_Pad_Via";1;"!OUT-";;;
7;"TP2";"SolderWirePad_1x01_SMD_1x2mm";1;"!OUT-";;;
8;"TP1";"SolderWirePad_1x01_SMD_1x2mm";1;"VIN+";;;
9;"Q2";"TO-220-3_Vertical";1;"IRF540N";;;
10;"Q5";"TO-92_Inline_Wide";1;"BC557";;;
11;"Q1";"TO-92_Inline_Wide";1;"BS170";;;
12;"JP12";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"6-pin";;;
13;"JP10";"PinHeader_1x02_P2.54mm_Vertical";1;"Vin";;;
14;"JP11";"PinHeader_1x02_P2.54mm_Vertical";1;"GND";;;
15;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"51k";;;
16;"R2,R3,R6,R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";4;"10k";;;
17;"R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"470";;;
18;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"8k2";;;
19;"R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"*";;;
20;"JP9";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"Prg";;;
21;"JP7";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"Ena";;;
22;"JP6";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"Rst";;;
23;"FID3,FID2,FID1";"Fiducial_0.5mm_Mask1mm";3;"Fiducial";;;
24;"U2";"TO-92L_Inline_Wide";1;"3.3Vdc 1A reg";;;
25;"JP4,JP3";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"Schottky bypass";;;
26;"J1";"PinHeader_1x08_P2.54mm_Vertical";1;"Grounds";;;
27;"J8";"PinHeader_1x08_P2.54mm_Horizontal";1;"Breadboard";;;
28;"J5";"PinHeader_1x05_P2.54mm_Horizontal";1;"555-esque";;;
29;"U1";"ESP-01";1;"ESP-01/S";;;
30;"H2,H1";"MountingHole_3.2mm_M3";2;"MountingHole";;;
31;"C5,C4";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"0.1";;;
32;"U5";"DIP-8_W7.62mm";1;"TLP250";;;
33;"JP2";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";1;"RC_bypass";;;
34;"D5";"LED_D1.8mm_W3.3mm_H2.4mm";1;"LED";;;
35;"J3";"TerminalBlock_bornier-3_P5.08mm";1;"Switched Output";;;
36;"D9";"D_A-405_P2.54mm_Vertical_AnodeUp";1;"1N4148";;;
37;"D4,D3";"D_A-405_P2.54mm_Vertical_AnodeUp";2;"1N5817 Schottky";;;
38;"JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels";1;"H/L";;;
39;"JP8";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels";1;"S/-";;;
40;"JP5";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Reg?";;;
41;"SW6";"KSA_Tactile_SPST";1;"RST";;;
42;"SW3";"KSA_Tactile_SPST";1;"PRG";;;
43;"K1";"Relay_SPDT_Finder_36.11";1;"FINDER-36.11";;;
